sec,mV,BPM
0.786,0.00211119,0
0.787,0.003068797,0
0.788,0.001153583,0
0.789,-0.003315251,0
0.79,-0.009699299,0
0.791,-0.017998562,0
0.792,-0.026617027,0
0.793,-0.035554694,0
0.794,-0.042896349,0
0.795,-0.048961195,0
0.796,-0.052153219,0
0.797,-0.053110826,0
0.798,-0.050876409,0
0.799,-0.046407576,0
0.8,-0.040023528,0
0.801,-0.03236267,0
0.802,-0.023744205,0
0.803,-0.01512574,0
0.804,-0.007784085,0
0.805,-0.002038441,0
0.806,0.001153583,0
0.807,0.001791988,0
0.808,-0.000442429,0
0.809,-0.004911263,0
0.81,-0.011933716,0
0.811,-0.020552181,0
0.812,-0.029809051,0
0.813,-0.038427516,0
0.814,-0.046407576,0
0.815,-0.052153219,0
0.816,-0.055345243,0
0.817,-0.055664446,0
0.818,-0.053430029,0
0.819,-0.048641993,0
0.82,-0.041938742,0
0.821,-0.03363948,0
0.822,-0.024701812,0
0.823,-0.016083347,0
0.824,-0.008741692,0
0.825,-0.002996049,0
0.826,-0.000123227,0
0.827,0.000195976,0
0.828,-0.002357644,0
0.829,-0.00714568,0
0.83,-0.014168133,0
0.831,-0.022467395,0
0.832,-0.03108586,0
0.833,-0.039704325,0
0.834,-0.046726778,0
0.835,-0.052153219,0
0.836,-0.055345243,0
0.837,-0.055983648,0
0.838,-0.053749231,0
0.839,-0.048641993,0
0.84,-0.041300337,0
0.841,-0.03236267,0
0.842,-0.0231058,0
0.843,-0.014168133,0
0.844,-0.006188073,0
0.845,-0.000761632,0
0.846,0.002430392,0
0.847,0.002749595,0
0.848,0.000515178,0
0.849,-0.003953656,0
0.85,-0.010337704,0
0.851,-0.017998562,0
0.852,-0.026297824,0
0.853,-0.034277884,0
0.854,-0.041300337,0
0.855,-0.046726778,0
0.856,-0.049918802,0
0.857,-0.050557207,0
0.858,-0.048641993,0
0.859,-0.044492361,0
0.86,-0.038108313,0
0.861,-0.030128253,0
0.862,-0.021509788,0
0.863,-0.013210526,0
0.864,-0.006507275,0
0.865,-0.001719239,0
0.866,0.000515178,0
0.867,0.000195976,0
0.868,-0.002357644,0
0.869,-0.007464882,0
0.87,-0.01384893,0
0.871,-0.021509788,0
0.872,-0.029489848,0
0.873,-0.036831504,0
0.874,-0.043215552,0
0.875,-0.047365183,0
0.876,-0.049280397,0
0.877,-0.04832279,0
0.878,-0.044492361,0
0.879,-0.038746718,0
0.88,-0.03108586,0
0.881,-0.022467395,0
0.882,-0.013529728,0
0.883,-0.004911263,0
0.884,0.00211119,0
0.885,0.007218428,0
0.886,0.009772048,0
0.887,0.01009125,0
0.888,0.007218428,0
0.889,0.002430392,0
0.89,-0.004911263,0
0.891,-0.013529728,0
0.892,-0.022467395,0
0.893,-0.03108586,0
0.894,-0.038108313,0
0.895,-0.042896349,0
0.896,-0.045449969,0
0.897,-0.045130766,0
0.898,-0.042257944,0
0.899,-0.037150706,0
0.9,-0.030447455,0
0.901,-0.022786598,0
0.902,-0.014806538,0
0.903,-0.007464882,0
0.904,-0.001400037,0
0.905,0.002430392,0
0.906,0.003707202,0
0.907,0.002430392,0
0.908,-0.001400037,0
0.909,-0.007464882,0
0.91,-0.01512574,0
0.911,-0.023744205,0
0.912,-0.03236267,0
0.913,-0.040661932,0
0.914,-0.047045981,0
0.915,-0.051195612,0
0.916,-0.052791624,0
0.917,-0.051514814,0
0.918,-0.047684385,0
0.919,-0.04161954,0
0.92,-0.03363948,0
0.921,-0.025021015,0
0.922,-0.016083347,0
0.923,-0.008103287,0
0.924,-0.001719239,0
0.925,0.003068797,0
0.926,0.004984012,0
0.927,0.004026404,0
0.928,0.000515178,0
0.929,-0.005230465,0
0.93,-0.012891323,0
0.931,-0.021509788,0
0.932,-0.030447455,0
0.933,-0.038427516,0
0.934,-0.044492361,0
0.935,-0.048641993,0
0.936,-0.0495996,0
0.937,-0.04832279,0
0.938,-0.044173159,0
0.939,-0.037789111,0
