sec,mV,BPM
0.807,-0.182707003,0
0.808,-0.182707003,0
0.809,-0.184622217,0
0.81,-0.187495039,0
0.811,-0.191325468,0
0.812,-0.195475099,0
0.813,-0.199305528,0
0.814,-0.203135957,0
0.815,-0.205689576,0
0.816,-0.206966386,0
0.817,-0.206966386,0
0.818,-0.205370374,0
0.819,-0.202497552,0
0.82,-0.198347921,0
0.821,-0.193559885,0
0.822,-0.188452646,0
0.823,-0.183026205,0
0.824,-0.177918967,0
0.825,-0.173769336,0
0.826,-0.170258109,0
0.827,-0.168342895,0
0.828,-0.168023692,0
0.829,-0.1689813,0
0.83,-0.170896514,0
0.831,-0.17440774,0
0.832,-0.178557372,0
0.833,-0.182707003,0
0.834,-0.186537432,0
0.835,-0.189729456,0
0.836,-0.19164467,0
0.837,-0.191963873,0
0.838,-0.191006266,0
0.839,-0.188452646,0
0.84,-0.184622217,0
0.841,-0.180472586,0
0.842,-0.17568455,0
0.843,-0.171534919,0
0.844,-0.16770449,0
0.845,-0.164831668,0
0.846,-0.162916454,0
0.847,-0.162278049,0
0.848,-0.163235656,0
0.849,-0.165789276,0
0.85,-0.1689813,0
0.851,-0.173130931,0
0.852,-0.177599765,0
0.853,-0.181749396,0
0.854,-0.185260622,0
0.855,-0.187814242,0
0.856,-0.189091051,0
0.857,-0.189091051,0
0.858,-0.187495039,0
0.859,-0.184303015,0
0.86,-0.180153384,0
0.861,-0.174726943,0
0.862,-0.1689813,0
0.863,-0.163235656,0
0.864,-0.158128418,0
0.865,-0.153340382,0
0.866,-0.150148358,0
0.867,-0.148233143,0
0.868,-0.148233143,0
0.869,-0.149509953,0
0.87,-0.152063572,0
0.871,-0.155894001,0
0.872,-0.15972443,0
0.873,-0.163235656,0
0.874,-0.16642768,0
0.875,-0.168342895,0
0.876,-0.1689813,0
0.877,-0.168342895,0
0.878,-0.16642768,0
0.879,-0.163235656,0
0.88,-0.159086025,0
0.881,-0.154297989,0
0.882,-0.149509953,0
0.883,-0.144402714,0
0.884,-0.140253083,0
0.885,-0.136741857,0
0.886,-0.134826642,0
0.887,-0.13450744,0
0.888,-0.135784249,0
0.889,-0.138337869,0
0.89,-0.1424875,0
0.891,-0.147275536,0
0.892,-0.152701977,0
