Time,"CH 1, ECG","CH40, Heart Rate"
sec,mV,BPM
0.932,0.001176129,157.480315
0.933,-0.047667716,157.480315
0.934,-0.095553838,157.480315
0.935,-0.140886034,157.480315
0.936,-0.181748858,157.480315
0.937,-0.217184589,157.480315
0.938,-0.245597021,157.480315
0.939,-0.266986156,157.480315
0.94,-0.280713511,157.480315
0.941,-0.287736809,157.480315
0.942,-0.289013772,157.480315
0.943,-0.285502123,157.480315
0.944,-0.279117307,157.480315
0.945,-0.271136286,157.480315
0.946,-0.263155266,157.480315
0.947,-0.25677045,157.480315
0.948,-0.25293956,157.480315
0.949,-0.251981837,157.480315
0.95,-0.253897282,157.480315
0.951,-0.258685895,157.480315
0.952,-0.265709193,157.480315
0.953,-0.273370972,157.480315
0.954,-0.280713511,157.480315
0.955,-0.287098327,157.480315
0.956,-0.290929217,157.480315
0.957,-0.290929217,157.480315
0.958,-0.287098327,157.480315
0.959,-0.278478825,157.480315
0.96,-0.265389952,157.480315
0.961,-0.248150948,157.480315
0.962,-0.227719536,157.480315
0.963,-0.205691919,157.480315
0.964,-0.182706581,157.480315
0.965,-0.160678964,157.480315
0.966,-0.140886034,157.480315
0.967,-0.124285511,157.480315
0.968,-0.11183512,157.480315
0.969,-0.10417334,157.480315
0.97,-0.101300173,157.480315
0.971,-0.103215618,157.480315
0.972,-0.108642711,157.480315
0.973,-0.116942973,157.480315
0.974,-0.126200956,157.480315
0.975,-0.135778181,157.480315
0.976,-0.144078442,157.480315
0.977,-0.149824777,157.480315
0.978,-0.152697944,157.480315
0.979,-0.151740221,157.480315
0.98,-0.146951609,157.480315
0.981,-0.138651348,157.480315
0.982,-0.127158679,157.480315
0.983,-0.113750564,157.480315
0.984,-0.099384728,157.480315
0.985,-0.085657373,157.480315
0.986,-0.073845462,157.480315
0.987,-0.06490672,157.480315
0.988,-0.059479626,157.480315
0.989,-0.057883422,157.480315
0.99,-0.060437348,157.480315
0.991,-0.066822165,157.480315
0.992,-0.076080148,157.480315
0.993,-0.087572818,157.480315
0.994,-0.099384728,157.480315
0.995,-0.110877397,157.480315
0.996,-0.120773862,157.480315
0.997,-0.12779716,157.480315
0.998,-0.130989568,157.480315
0.999,-0.130351087,157.480315
1,-0.125243234,157.480315
1.001,-0.116623732,157.480315
1.002,-0.104811822,157.480315
1.003,-0.091084467,157.480315
1.004,-0.076399389,157.480315
1.005,-0.062352793,157.480315
1.006,-0.049902401,157.480315
1.007,-0.040325177,157.480315
1.008,-0.034578842,157.480315
1.009,-0.032982638,157.480315
1.01,-0.035855805,157.480315
1.011,-0.042559863,157.480315
1.012,-0.052775569,157.480315
1.013,-0.06490672,157.480315
1.014,-0.078314834,157.480315
1.015,-0.091084467,157.480315
1.016,-0.102257895,157.480315
1.017,-0.111196638,157.480315
1.018,-0.116304491,157.480315
1.019,-0.117262213,157.480315
1.02,-0.114069805,157.480315
1.021,-0.106408026,157.480315
1.022,-0.095553838,157.480315
1.023,-0.082464964,157.480315
1.024,-0.068099128,157.480315
1.025,-0.054052532,157.480315
1.026,-0.04160214,157.480315
1.027,-0.032024916,157.480315
1.028,-0.025640099,157.480315
1.029,-0.023405414,157.480315
1.03,-0.025001618,157.480315
1.031,-0.030428712,157.480315
1.032,-0.039367454,157.480315
1.033,-0.050540883,157.480315
1.034,-0.062672034,157.480315
1.035,-0.074483944,157.480315
1.036,-0.08469965,157.480315
1.037,-0.092680671,157.480315
1.038,-0.097150042,157.480315
1.039,-0.097788524,157.480315
1.04,-0.093957634,157.480315
1.041,-0.085657373,157.480315
1.042,-0.074164703,157.480315
1.043,-0.060437348,157.480315
1.044,-0.045752271,157.480315
1.045,-0.031386434,157.480315
1.046,-0.018297561,157.480315
1.047,-0.007762614,157.480315
1.048,-0.000420075,157.480315
1.049,0.003091574,157.480315
1.05,0.002772333,157.480315
1.051,-0.001377797,157.480315
