sec,mV,BPM
0.824,-0.121120722,169.0140845
0.825,-0.11249655,169.0140845
0.826,-0.104191792,169.0140845
0.827,-0.097164689,169.0140845
0.828,-0.091734655,169.0140845
0.829,-0.088540518,169.0140845
0.83,-0.087582276,169.0140845
0.831,-0.089179345,169.0140845
0.832,-0.092692897,169.0140845
0.833,-0.098122931,169.0140845
0.834,-0.104511206,169.0140845
0.835,-0.110899482,169.0140845
0.836,-0.116968343,169.0140845
0.837,-0.12175955,169.0140845
0.838,-0.125273101,169.0140845
0.839,-0.126550756,169.0140845
0.84,-0.125273101,169.0140845
0.841,-0.122078964,169.0140845
0.842,-0.11664893,169.0140845
0.843,-0.110260654,169.0140845
0.844,-0.102914137,169.0140845
0.845,-0.095567621,169.0140845
0.846,-0.089179345,169.0140845
0.847,-0.084068725,169.0140845
0.848,-0.080874587,169.0140845
0.849,-0.079916346,169.0140845
0.85,-0.081513415,169.0140845
0.851,-0.084707552,169.0140845
0.852,-0.090137586,169.0140845
0.853,-0.096525862,169.0140845
0.854,-0.103552965,169.0140845
0.855,-0.110260654,169.0140845
0.856,-0.116329516,169.0140845
0.857,-0.120801309,169.0140845
0.858,-0.123356619,169.0140845
0.859,-0.123676033,169.0140845
0.86,-0.121120722,169.0140845
0.861,-0.116329516,169.0140845
0.862,-0.109302413,169.0140845
0.863,-0.101317068,169.0140845
0.864,-0.09301231,169.0140845
0.865,-0.085026966,169.0140845
0.866,-0.077999863,169.0140845
0.867,-0.072569829,169.0140845
0.868,-0.068736864,169.0140845
0.869,-0.067459209,169.0140845
0.87,-0.06841745,169.0140845
0.871,-0.071931001,169.0140845
0.872,-0.077361035,169.0140845
0.873,-0.084068725,169.0140845
0.874,-0.091415241,169.0140845
0.875,-0.098442344,169.0140845
0.876,-0.104511206,169.0140845
0.877,-0.108344171,169.0140845
0.878,-0.110260654,169.0140845
0.879,-0.109621827,169.0140845
0.88,-0.106108275,169.0140845
0.881,-0.100678241,169.0140845
0.882,-0.09301231,169.0140845
0.883,-0.084707552,169.0140845
0.884,-0.075763967,169.0140845
0.885,-0.067459209,169.0140845
0.886,-0.060112692,169.0140845
0.887,-0.055002071,169.0140845
0.888,-0.052127347,169.0140845
0.889,-0.05148852,169.0140845
0.89,-0.053724416,169.0140845
0.891,-0.058196209,169.0140845
0.892,-0.063945657,169.0140845
0.893,-0.07097276,169.0140845
0.894,-0.078319277,169.0140845
0.895,-0.08534638,169.0140845
0.896,-0.091415241,169.0140845
0.897,-0.096206448,169.0140845
0.898,-0.098761758,169.0140845
0.899,-0.098761758,169.0140845
0.9,-0.096206448,169.0140845
0.901,-0.091415241,169.0140845
0.902,-0.084707552,169.0140845
0.903,-0.077041622,169.0140845
0.904,-0.069056277,169.0140845
0.905,-0.061709761,169.0140845
0.906,-0.055640899,169.0140845
0.907,-0.051169106,169.0140845
0.908,-0.049252623,169.0140845
0.909,-0.049572037,169.0140845
0.91,-0.051807934,169.0140845
0.911,-0.056279726,169.0140845
0.912,-0.062029174,169.0140845
0.913,-0.068736864,169.0140845
0.914,-0.075763967,169.0140845
0.915,-0.082471656,169.0140845
0.916,-0.088221104,169.0140845
0.917,-0.092054069,169.0140845
0.918,-0.093970552,169.0140845
0.919,-0.093331724,169.0140845
0.92,-0.090457,169.0140845
0.921,-0.085665794,169.0140845
0.922,-0.079916346,169.0140845
0.923,-0.072889243,169.0140845
0.924,-0.06586214,169.0140845
0.925,-0.059473864,169.0140845
0.926,-0.054363244,169.0140845
0.927,-0.050849692,169.0140845
0.928,-0.049572037,169.0140845
0.929,-0.050530279,169.0140845
0.93,-0.053724416,169.0140845
0.931,-0.058515623,169.0140845
0.932,-0.064265071,169.0140845
0.933,-0.070333932,169.0140845
0.934,-0.076402794,169.0140845
0.935,-0.081513415,169.0140845
0.936,-0.084707552,169.0140845
0.937,-0.086304621,169.0140845
0.938,-0.085665794,169.0140845
0.939,-0.083110483,169.0140845
0.94,-0.078638691,169.0140845
0.941,-0.072569829,169.0140845
0.942,-0.06586214,169.0140845
0.943,-0.05915445,169.0140845
0.944,-0.052766175,169.0140845
0.945,-0.047974968,169.0140845
0.946,-0.044780831,169.0140845
0.947,-0.044142003,169.0140845
0.948,-0.046058486,169.0140845
0.949,-0.050210865,169.0140845
0.95,-0.05659914,169.0140845
0.951,-0.064265071,169.0140845
0.952,-0.072250415,169.0140845
0.953,-0.080555173,169.0140845
0.954,-0.08790169,169.0140845
0.955,-0.094289965,169.0140845
0.956,-0.099081172,169.0140845
0.957,-0.100997655,169.0140845
0.958,-0.100678241,169.0140845
0.959,-0.097803517,169.0140845
0.96,-0.092054069,169.0140845
0.961,-0.084707552,169.0140845
0.962,-0.07608338,169.0140845
0.963,-0.066820381,169.0140845
0.964,-0.058196209,169.0140845
0.965,-0.051169106,169.0140845
0.966,-0.046058486,169.0140845
0.967,-0.043503176,169.0140845
0.968,-0.043822589,169.0140845
0.969,-0.047016727,169.0140845
0.97,-0.052127347,169.0140845
0.971,-0.05915445,169.0140845
0.972,-0.066820381,169.0140845
0.973,-0.074486312,169.0140845
0.974,-0.081513415,169.0140845
0.975,-0.086943449,169.0140845
0.976,-0.090776414,169.0140845
0.977,-0.092373483,169.0140845
0.978,-0.091415241,169.0140845
0.979,-0.087582276,169.0140845
0.98,-0.081832828,169.0140845
0.981,-0.074166898,169.0140845
0.982,-0.065542726,169.0140845
0.983,-0.056918554,169.0140845
0.984,-0.048613796,169.0140845
0.985,-0.041586693,169.0140845
0.986,-0.036476073,169.0140845
0.987,-0.033601349,169.0140845
0.988,-0.033281935,169.0140845
0.989,-0.035517831,169.0140845
0.99,-0.039989624,169.0140845
0.991,-0.045739072,169.0140845
0.992,-0.052766175,169.0140845
0.993,-0.060112692,169.0140845
0.994,-0.066820381,169.0140845
0.995,-0.072250415,169.0140845
0.996,-0.07608338,169.0140845
0.997,-0.077680449,169.0140845
0.998,-0.077041622,169.0140845
0.999,-0.074486312,169.0140845
1,-0.070653346,169.0140845
1.001,-0.065223312,169.0140845
1.002,-0.05915445,169.0140845
1.003,-0.053405003,169.0140845
1.004,-0.048294382,169.0140845
1.005,-0.044461417,169.0140845
1.006,-0.042864348,169.0140845
1.007,-0.042864348,169.0140845
1.008,-0.045419658,169.0140845
1.009,-0.049891451,169.0140845
1.01,-0.055960313,169.0140845
1.011,-0.062668002,169.0140845
1.012,-0.069695105,169.0140845
1.013,-0.07608338,169.0140845
1.014,-0.081513415,169.0140845
1.015,-0.08534638,169.0140845
1.016,-0.086943449,169.0140845
1.017,-0.085985207,169.0140845
1.018,-0.083110483,169.0140845
1.019,-0.077999863,169.0140845
1.02,-0.07097276,169.0140845
1.021,-0.063306829,169.0140845
1.022,-0.055321485,169.0140845
1.023,-0.047655555,169.0140845
1.024,-0.041586693,169.0140845
1.025,-0.037434314,169.0140845
1.026,-0.035517831,169.0140845
1.027,-0.036476073,169.0140845
1.028,-0.039989624,169.0140845
1.029,-0.045739072,169.0140845
1.03,-0.053405003,178.5714286
1.031,-0.062029174,178.5714286
1.032,-0.07097276,178.5714286
1.033,-0.078958104,178.5714286
1.034,-0.08534638,178.5714286
1.035,-0.090137586,178.5714286
1.036,-0.09301231,178.5714286
1.037,-0.09301231,178.5714286
1.038,-0.090776414,178.5714286
1.039,-0.086624035,178.5714286
1.04,-0.080555173,178.5714286
1.041,-0.073847484,178.5714286
1.042,-0.067139795,178.5714286
1.043,-0.060432106,178.5714286
1.044,-0.054682658,178.5714286
1.045,-0.050210865,178.5714286
1.046,-0.047336141,178.5714286
1.047,-0.046697313,178.5714286
1.048,-0.048613796,178.5714286
1.049,-0.052446761,178.5714286
1.05,-0.057876795,178.5714286
1.051,-0.063945657,178.5714286
1.052,-0.070014519,178.5714286
1.053,-0.075125139,178.5714286
1.054,-0.078958104,178.5714286
1.055,-0.080235759,178.5714286
1.056,-0.079596932,178.5714286
1.057,-0.076402794,178.5714286
1.058,-0.071292174,178.5714286
1.059,-0.063945657,178.5714286
1.06,-0.055640899,178.5714286
1.061,-0.047016727,178.5714286
1.062,-0.038711969,178.5714286
1.063,-0.031365452,178.5714286
1.064,-0.025935418,178.5714286
1.065,-0.023060694,178.5714286
1.066,-0.022421867,178.5714286
1.067,-0.024657763,178.5714286
1.068,-0.029129556,178.5714286
1.069,-0.035517831,178.5714286
